,MKT_RF,SMB,HML,RMW,CMA,MOM,TERM,CREDIT,COM
SPY,0.9820671215758462,-0.11575522257000234,0.031166309098331263,0.05978602623900744,0.012037258748540523,0.00202335829438971,0.010836622459388573,0.010291915097176751,-0.0025655713964250343
VGK,0.7711386706461103,-0.24349454805908677,0.04902241533839828,-0.010741229333351629,0.09663146693756341,-0.11127391820736868,-0.06683860797547653,0.5837683382706854,0.14565167844553698
EWJ,0.642082496055918,-0.07924586965869482,0.05031018588832642,-0.16213264606353514,-0.07206189443576283,-0.127219972649776,-0.1909284366059644,0.02650047262190941,-0.021472479825955314
FXI,0.24082786165977133,-0.09295077947700563,-0.3593368293683538,-0.1577373180925084,0.30309700574723675,-0.3587812345668002,-0.14163159708498507,0.7976725685704419,0.2973509301189351
INDY,0.45858873229475067,-0.013362344047403198,0.17656102324175732,0.08947917121217447,-0.35545848436449845,0.04598276323929183,0.277670487713655,1.121707834885455,0.04151232471321011
EWZ,0.32087718759994655,-0.38163609304769064,0.15081883178513297,-0.3848928757202398,0.4208463008016564,-0.3578860855394537,-0.6776650063303544,2.1495444704358695,0.4373345237925048
IEF,0.043390637528794025,-0.049300053814156225,-0.18247707553485742,0.05252853241459737,0.06641325287875666,-0.06855749051411986,-0.9287833029821012,-0.09891734636652978,-0.07427011612922743
LQD,0.04339063752879391,-0.04930005381415609,-0.18247707553485734,0.05252853241459756,0.06641325287875649,-0.06855749051411994,-0.9287833029821015,0.9010826536334705,-0.07427011612922735
DBC,0.0013295102309765494,0.00996888878909985,-0.006915275349448514,0.004777619291704189,0.01683721033793071,0.00039138548387448666,0.0021155302911606833,-0.007561755950359905,1.0004080389847037
