,Ann.Return,Ann.Vol,Sharpe
MKT_RF,0.13211249999999988,0.14902015952556946,0.8865411258490266
RMW,0.025881249999999988,0.06846169312869144,0.37803987627576624
CREDIT,0.014121470114558804,0.05245631013271047,0.2692044118016033
MOM,0.029812500000000006,0.12210120421470307,0.2441622111079071
COM,0.004232246266559738,0.16887054948896352,0.025062074348472085
TERM,0.0005062499999999998,0.025197566924739012,0.02009122553427818
CMA,-0.00019999999999999966,0.07226175224623556,-0.0027677158909527903
SMB,-0.008737500000000013,0.09499406477739507,-0.09197943071996222
HML,-0.013143749999999992,0.11274201076569523,-0.11658254017941756
