,BL_MV,MinVar_Factor,MinVar_LW
SPY,0.6246324197019563,6.500488460593206e-22,0.020645309271217067
VGK,-7.762468457424969e-23,8.683856919922592e-22,2.6982729263383132e-21
EWJ,0.09737142898944968,0.016802776734119056,0.06835205804210033
FXI,0.14273888825455797,5.655844608023199e-22,2.7167632979406587e-21
INDY,0.08765490997039171,8.965885003776893e-05,3.6087162658552985e-21
EWZ,0.047602353083644404,1.5895037291363377e-21,9.187110220483946e-21
IEF,3.59660791932641e-23,0.5631922798081308,0.6078467259813942
LQD,6.768849633573827e-23,0.2930367726617813,0.1447209081466911
DBC,5.515459953176895e-23,0.12687851194593117,0.1584349985585973
