tau,omega_scale,SPY,VGK,EWJ,FXI,INDY,EWZ,IEF,LQD,DBC
0.01,0.1,0.35596222154272383,-6.898646484321358e-23,0.15160084422254697,0.2,0.15078883419313158,0.07893915879002585,5.170246361766246e-23,0.06270894125157168,-1.0580399233628383e-23
0.01,0.5,0.65,-3.1014477346599854e-22,0.13914637336962685,0.07525469345928174,0.07595189029210364,0.059647042878987734,-7.484942403491396e-23,-5.382420562318094e-23,-7.581553756779188e-23
0.01,1.0,0.65,0.07681115952800179,0.09327765898557422,0.0374272742270531,0.06654323727577995,0.07594066998359093,-1.5906972601491112e-22,-3.082659640798471e-23,1.881605675322914e-24
0.01,2.0,0.65,0.245829984857883,-9.202284609740694e-23,-3.8817833290565983e-23,0.02577972983041123,0.07839028531170578,5.051308263911751e-23,8.827000795873809e-23,-9.281922772728294e-24
0.05,0.1,2.637879393824138e-23,-2.0303671289508217e-23,0.009372138330646996,0.19999999999999996,0.19999999999999998,0.1398905859194526,0.15073727574990042,0.2,0.10000000000000002
0.05,0.5,0.3559622215427233,-9.073122061109267e-23,0.15160084422254744,0.2,0.15078883419313172,0.07893915879002603,6.3692355356454e-23,0.06270894125157157,-4.126817706381713e-23
0.05,1.0,0.6246324197019518,-1.0912538029051892e-22,0.09737142898945202,0.14273888825456027,0.08765490997039013,0.04760235308364571,-3.8648501941321344e-23,-7.722238757553321e-23,2.00032682609225e-23
0.05,2.0,0.65,-2.03500994639377e-22,0.13232621696930408,0.08819692118833358,0.0758553395979539,0.053621522244408394,-5.652309136593089e-23,-8.294254035600347e-23,-5.016378482029311e-23
0.1,0.1,9.653109496087671e-23,7.763007662667508e-23,1.6421303475107546e-23,0.20000000000000004,0.2,0.1385789321283281,0.16142106787167185,0.2,0.09999999999999996
0.1,0.5,0.08440833781047909,-1.2352131170627775e-22,0.12328351967524491,0.2,0.19176296118756614,0.10054518132670982,-1.171562493405672e-22,0.2,0.10000000000000003
0.1,1.0,0.3559622215427233,-9.073122061109267e-23,0.15160084422254744,0.2,0.15078883419313172,0.07893915879002603,6.3692355356454e-23,0.06270894125157157,-4.126817706381713e-23
0.1,2.0,0.6246324197019518,-1.0912538029051892e-22,0.09737142898945202,0.14273888825456027,0.08765490997039013,0.04760235308364571,-3.8648501941321344e-23,-7.722238757553321e-23,2.00032682609225e-23
